Descricao;Valor_HM;Convenio
 ROMBERG;0,0;AMBEP
1,25-dihidroxi vitamina D;0,0;AMBEP
11-desoxicorticosterona;0,0;AMBEP
17-alfa-hidroxiprogesterona;0,0;AMBEP
17-cetogênicos (17-CGS);0,0;AMBEP
17-cetogênicos cromatografia;0,0;AMBEP
17-cetosteróides (17-CTS) - cromatografia;0,0;AMBEP
17-cetosteróides relação alfa/beta;0,0;AMBEP
17-cetosteróides totais (17-CTS);0,0;AMBEP
17-hidroxicorticosteróides (17-OHS);0,0;AMBEP
17-hidroxipregnenolona;0,0;AMBEP
1B_x000D_;0,0;AMBEP
2,5-hexanodiona, dosagem na urina;0,0;AMBEP
3 alfa androstonediol glucoronídeo (3ALFDADIOL);0,0;AMBEP
3-metil histidina, dosagem no soro;0,0;AMBEP
5-nucleotidase;0,0;AMBEP
A fresco, exame;0,0;AMBEP
Abaixamento miotendinoso no antebraço;0,0;AMBEP
Abdome agudo;90,0;AMBEP
Abdome inferior feminino (bexiga, útero, ovário e anexos);100,0;AMBEP
Abdome inferior masculino (bexiga, próstata e vesículas seminais);120,0;AMBEP
Abdome simples;90,0;AMBEP
Abdome superior;420,0;AMBEP
Abdome superior (fígado, pâncreas, baço, rins, supra-renais, retroperitônio);0,0;AMBEP
Abdome superior (fígado, vias biliares, vesícula, pâncreas, baço);130,0;AMBEP
Abdome total (abdome superior, pelve e retroperitônio);750,0;AMBEP
Abdome total (inclui abdome inferior);170,0;AMBEP
ABDOME, PAREDE E CAVIDADE;0,0;AMBEP
Abdomen agudo;0,0;AMBEP
Abdomen simples_a.p.;0,0;AMBEP
Abdomen_a.p._lat. Ou localizada;0,0;AMBEP
Abdominal ou hipogástrico;0,0;AMBEP
Abertura de bainha tendinosa - tratamento cirúrgico;0,0;AMBEP
Ablação de circuito arritmogênico por cateter de radiofreqüência;0,0;AMBEP
Ablação percutânea de tumor (qualquer método);0,0;AMBEP
Ablação percutânea de tumor hepático (qualquer método);0,0;AMBEP
Ablação percutânea de tumor ósseo (qualquer método);0,0;AMBEP
Ablação percutânea de tumor torácico (qualquer método);0,0;AMBEP
Ablação prostática a laser;0,0;AMBEP
Abrasão cirúrgica (por sessão);0,0;AMBEP
Abscesso anorretal - drenagem;0,0;AMBEP
Abscesso de mão e dedos - tenossinovites / espaços palmares / dorsais e comissurais - tratamento cirúrgico;0,0;AMBEP
Abscesso de pálpebra - drenagem;0,0;AMBEP
Abscesso de próstata - drenagem;0,0;AMBEP
Abscesso de unha (drenagem) - tratamento cirúrgico;0,0;AMBEP
Abscesso faríngeo - qualquer área;0,0;AMBEP
Abscesso hepático - drenagem cirúrgica;0,0;AMBEP
Abscesso hepático - drenagem cirúrgica por videolaparoscopia;0,0;AMBEP
Abscesso isquio-retal - drenagem;0,0;AMBEP
Abscesso ou hematoma de septo nasal - drenagem;0,0;AMBEP
Abscesso ou hematoma de septo nasal - drenagem sob anestesia geral;0,0;AMBEP
Abscesso perineal - drenagem cirúrgica;0,0;AMBEP
Abscesso periuretral - tratamento cirúrgico;0,0;AMBEP
Abscesso renal ou peri-renal - drenagem cirúrgica;0,0;AMBEP
Abscesso renal ou peri-renal - drenagem percutânea;0,0;AMBEP
Abscesso subfrênico - tratamento cirúrgico;0,0;AMBEP
Abscessos de dedo (drenagem) - tratamento cirúrgico;0,0;AMBEP
Acesso endoscópico ao tratamento cirúrgico dos tumores da região selar;0,0;AMBEP
ACESSOS VASCULARES;0,0;AMBEP
Acetaminofen;0,0;AMBEP
Acetilcolinesterase, em eritrócitos;0,0;AMBEP
Acetona, dosagem no soro;934,03;AMBEP
Acidez titulável;0,0;AMBEP
Ácido 5 hidróxi indol acético, dosagem na urina;0,0;AMBEP
Ácido acético;0,0;AMBEP
Ácido ascórbico (vitamina C);61,0;AMBEP
Ácido beta hidroxi butírico;0,0;AMBEP
Ácido cítrico;0,0;AMBEP
Ácido delta aminolevulínico (para chumbo inorgânico);40,44;AMBEP
Ácido delta aminolevulínico desidratase (para chumbo inorgânico);0,0;AMBEP
Ácido fenilglioxílico (para estireno);0,0;AMBEP
Ácido fólico, dosagem nos eritrócitos;41,6;AMBEP
Ácido glioxílico;0,0;AMBEP
Ácido hipúrico (para tolueno);0,0;AMBEP
ACIDO HIPURICO NA URINA, DOSAGEM DE ACIDO ;0,0;AMBEP
Ácido homo vanílico;0,0;AMBEP
Ácido homogentísico;0,0;AMBEP
Ácido láctico (lactato);57,42;AMBEP
Ácido mandélico (para estireno);0,0;AMBEP
Ácido metil malônico;0,0;AMBEP
Ácido metilhipúrico (para xilenos);0,0;AMBEP
Ácido orótico;0,0;AMBEP
Ácido oxálico;22,35;AMBEP
Ácido pirúvico;0,0;AMBEP
Ácido salicílico;0,0;AMBEP
Ácido siálico;0,0;AMBEP
ACIDO TRANSMUCONICO;0,0;AMBEP
Ácido úrico;23,9;AMBEP
Ácido valpróico;58,2;AMBEP
Ácido vanilmandélico (VMA);0,0;AMBEP
Ácidos biliares;0,0;AMBEP
Ácidos graxos livres;0,0;AMBEP
Ácidos orgânicos (perfil quantitativo);0,0;AMBEP
Acilcarnitinas (perfil qualitativo);0,0;AMBEP
Acilcarnitinas (perfil quantitativo);0,0;AMBEP
Acompanhamento  hospitalar/dia  do  transplante   de  medula   óssea  p/   médico  hematologista  e/ou hemoterapeuta;0,0;AMBEP
Acompanhamento clínico ambulatorial pós-transplante renal - por avaliação;0,0;AMBEP
Acompanhamento clínico de transplante renal no período de internação do receptor e do doador (pós-operatório até 15 dias);0,0;AMBEP
Acompanhamento médico para transporte intra-hospitalar de pacientes graves, com ventilação assistida, da UTI para o centro de diagnósitco;0,0;AMBEP
Acompanhamento peroperatório;0,0;AMBEP
Aconselhamento genético;0,0;AMBEP
Acromioplastia;0,0;AMBEP
Actinoterapia (por sessão);0,0;AMBEP
ACUPUNTURA;0,0;AMBEP
Acupuntura por sessão;0,0;AMBEP
Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) - binocular;0,0;AMBEP
Adeno tonsilectomia - revisão cirúrgica;0,0;AMBEP
Adeno-amigdalectomia;0,0;AMBEP
Adenoidectomia;0,0;AMBEP
Adenoidectomia por videoendoscopia;0,0;AMBEP
Adenóides ou cavum;70,0;AMBEP
Adenoides: lateral;0,0;AMBEP
Adenosina de aminase (ADA);0,0;AMBEP
Adenovírus, IgG;0,0;AMBEP
Adenovírus, IgM;0,0;AMBEP
Adrenalectomia laparoscópica unilateral;0,0;AMBEP
Adrenalectomia unilateral;0,0;AMBEP
Adrenocorticotrófico, hormônio (ACTH);0,0;AMBEP
Agenesia de rádio (centralização da ulna no carpo);0,0;AMBEP
AGULHAMENTO DE MAMA GUIADO POR MAMO/ECO SUS;0,0;AMBEP
Alargamento de traqueostomia;0,0;AMBEP
Albumina;16,0;AMBEP
Alcaptonúria, pesquisa;0,0;AMBEP
Alcoolização percutânea de angioma;0,0;AMBEP
Alcoolização percutânea dirigida de tumor hepático;0,0;AMBEP
Alcoolização percutânea dirigida de tumor hepático por videolaparoscopia;0,0;AMBEP
Aldolase;24,48;AMBEP
Aldosterona;0,0;AMBEP
Alérgenos - perfil antigênico (painel C/36 antígenos);0,0;AMBEP
Alfa -1-antitripsina, (fezes);0,0;AMBEP
Alfa-1-antitripsina, dosagem no soro;51,24;AMBEP
Alfa-1-glicoproteína ácida;33,72;AMBEP
Alfa-2antiplasmina, teste funcional;0,0;AMBEP
Alfa-2-macroglobulina;0,0;AMBEP
Alfa-fetoproteína;0,0;AMBEP
Alongamento;0,0;AMBEP
Alongamento / transporte ósseo / pseudoartrose com fixador externo;0,0;AMBEP
Alongamento / transporte ósseo / pseudoartrose com fixador externo;0,0;AMBEP
Alongamento cirúrgico do palato mole;0,0;AMBEP
Alongamento com fixador dinâmico - tratamento cirúrgico;0,0;AMBEP
Alongamento de columela;0,0;AMBEP
Alongamento de fêmur - tratamento cirúrgico;0,0;AMBEP
Alongamento do rádio/ulna - tratamento cirúrgico;0,0;AMBEP
Alongamento dos ossos da perna - tratamento cirúrgico;0,0;AMBEP
Alongamento dos ossos do antebraço com fixador externo dinâmico - tratamento cirúrgico;0,0;AMBEP
Alongamento/transporte ósseo com fixador externo;0,0;AMBEP
Alongamentos tendinosos de mão;0,0;AMBEP
Alopecia parcial - exérese e sutura;0,0;AMBEP
Alopecia parcial - rotação de retalho;0,0;AMBEP
Alopecia parcial - rotação múltipla de retalhos;0,0;AMBEP
Alumínio, dosagem no soro;0,0;AMBEP
Amebíase, IgG;0,0;AMBEP
Amebíase, IgM;0,0;AMBEP
Amigdalectomia das palatinas;0,0;AMBEP
Amigdalectomia lingual;0,0;AMBEP
Amilase;21,71;AMBEP
Amilase ou alfa-amilase, isoenzimas, dosagem;0,0;AMBEP
Aminoácidos, fracionamento e quantificação;0,0;AMBEP
Amiodarona;0,0;AMBEP
Amitriptilina, nortriptilina (cada);0,0;AMBEP
Amniorredução ou amnioinfusão;0,0;AMBEP
Amnioscopia;0,0;AMBEP
Amônia;0,0;AMBEP
AMP cíclico;0,0;AMBEP
Ampliação (anel valvar, grandes vasos, átrio, ventrículo);0,0;AMBEP
Ampliação do anel valvar;0,0;AMBEP
Ampliação ou magnificação de lesão mamária;0,0;AMBEP
Ampliação vesical;0,0;AMBEP
Amplificação de material por biologia molecular (outros agentes);0,0;AMBEP
